"msg","code","page__totalCount","page__pageSize","page__totalPage","page__currPage","page__list__creationTime","page__list__creationBy","page__list__lastUpdatedTime","page__list__lastUpdatedBy","page__list__wxGroupId","page__list__groupName","page__list__memberId","page__list__memberAccount","page__list__headIcon","page__list__notice","page__list__status","page__list__isForbidWords","page__list__isForbidImg","page__list__isTopNotice","page__list__wordSizeMax","page__list__supportImgLevelList","page__list__supportWordLevelList","page__list__csMas","page__list__defaultBindLc","page__list__qian9Info","page__list__default","page__sum"
"success","0","13","10","2","1","2025-07-05 14:36:20","admintw","2025-07-09 13:17:59","admin04","18","000000","1020","bosontest","","","1","0","0","1","500","","","","null","/pc/images/userManagement/portraits/28.png%@@&HEADICON@NICKNAME&@@%Jacqueline Wyatt","False","null"
"","","","","","","2025-07-05 10:21:16","admintw","2025-07-05 14:58:17","admintw","17","bosontest123","1020","bosontest","","dsfsdfsdfsd","1","0","0","1","1000",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,","","null","/pc/images/userManagement/portraits/28.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/12.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/12.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/37.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/58.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/29.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/25.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/26.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/35.png%@@&HEADICON@NICKNAME&@@%Jacqueline Wyatt%@@&NICKNAME&@@%Coral Toynbee%@@&NICKNAME&@@%Debby Pearson%@@&NICKNAME&@@%融君雅%@@&NICKNAME&@@%谷梁涵菡%@@&NICKNAME&@@%余子美%@@&NICKNAME&@@%Bruce Wollaston%@@&NICKNAME&@@%Lynn Brooke%@@&NICKNAME&@@%Sigrid Whyet","False",""
"","","","","","","2025-07-05 10:21:16","admintw","2025-07-05 15:00:00","bosontest","16","bosontest","1020","bosontest","/ag45/wx/20250705/cb1a8f4da6234cbfaf3517d3a8ea0b8b.png@,@image/png@,@qiniu","4444444","1","0","0","1","1000",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,","","null","/pc/images/userManagement/portraits/28.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/12.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/12.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/37.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/58.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/29.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/25.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/26.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/35.png%@@&HEADICON@NICKNAME&@@%Jacqueline Wyatt%@@&NICKNAME&@@%Coral Toynbee%@@&NICKNAME&@@%Debby Pearson%@@&NICKNAME&@@%融君雅%@@&NICKNAME&@@%谷梁涵菡%@@&NICKNAME&@@%余子美%@@&NICKNAME&@@%Bruce Wollaston%@@&NICKNAME&@@%Lynn Brooke%@@&NICKNAME&@@%Sigrid Whyet","False",""
"","","","","","","2025-07-01 10:16:13","admintw","2025-07-15 15:57:34","admintw","15","test","1028","jetjet2024","","","1","0","0","0","500",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,","bosontest.6666..7","","/pc/images/userManagement/portraits/23.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/25.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/17.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/1.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/1.png%@@&HEADICON@NICKNAME&@@%常香天%@@&NICKNAME&@@%Amy Felton%@@&NICKNAME&@@%AAAA%@@&NICKNAME&@@%Jacqueline Wyatt%@@&NICKNAME&@@%鄢雁露","False",""
"","","","","","","2025-06-30 14:07:54","admintw","2025-07-15 16:00:59","admintw","12","test","1030","test123","","GAS","1","0","0","1","500",",ZX,TP,ZF,","","","","/pc/images/userManagement/portraits/17.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/24.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/25.png%@@&HEADICON@NICKNAME&@@%AAAA%@@&NICKNAME&@@%CCC%@@&NICKNAME&@@%海绵宝宝","False",""
"","","","","","","2025-05-31 16:19:32","admintw","2025-06-25 11:09:54","bosontest","10","888","1005","qqqq11","","888-daidan","1","0","0","0","1000",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,","","null","/pc/images/userManagement/portraits/25.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/28.png%@@&HEADICON@NICKNAME&@@%Amy Felton%@@&NICKNAME&@@%Jacqueline Wyatt","False",""
"","","","","","","2025-06-19 07:49:55","admin05","2025-06-19 17:41:23","james001","8","雷艇夺冠","1023","james001","","","1","0","0","0","500","","","","null","/ag45/wx/20250619/40ace7985a594aca95932cd25db85203.png@,@image/png@,@qiniu%@@&HEADICON&@@%/pc/images/userManagement/portraits/21.png%@@&HEADICON@NICKNAME&@@%老詹%@@&NICKNAME&@@%囚心锁","False",""
"","","","","","","2025-06-08 21:20:58","BlhV-admin","2025-06-08 21:21:57","leo0000","7","群组","1015","leo0000","","","1","0","0","0","500",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,",",NM,FN,DZ,ZX,TP,ZF,ZD,XF,","","BJSC","/pc/images/userManagement/portraits/12.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/25.png%@@&HEADICON@NICKNAME&@@%佴绿凝%@@&NICKNAME&@@%Amy Felton","False",""
"","","","","","","2025-06-06 20:47:31","BlhV-admin","2025-06-06 20:50:53","suibian02","6","adshlf","1011","suibian02","","","1","0","0","0","500","","","","null","/pc/images/userManagement/portraits/37.png%@@&HEADICON&@@%/pc/images/userManagement/portraits/12.png%@@&HEADICON@NICKNAME&@@%崔冬卉%@@&NICKNAME&@@%OoOo","False",""
"","","","","","","2025-06-06 19:57:40","BlhV-admin","2025-06-06 20:52:42","suibian01","5","jsalkf","1010","suibian01","","","1","0","0","0","500","","","","null","/pc/images/userManagement/portraits/12.png%@@&HEADICON@NICKNAME&@@%OoOo","False",""
